name,weight,d,bf,tw,tf,h,d_linha,ag,ix,wx,rx,zx,iy,wy,ry,zy,rt,it,Cw
"W 150 x 13,0",13,148,100,"4,3","4,9",138,118,"16,6",635,"85,8","6,2","96,4",82,"16,4","2,2","25,5","2,6","1,7",4181
"W 150 x 18,0",18,153,102,"5,8","7,1",139,119,"23,4",939,"122,8","6,3","139,4",126,"24,7","2,3","38,5","2,7","4,3",6683
"W 150 x 22,5 (H)",23,152,152,"5,8","6,6",139,119,29,1229,"161,7","6,5","179,6",387,"50,9","3,7","77,9","4,1","4,8",20417
"W 150 x 24,0",24,160,102,"6,6","10,3",139,115,"31,5",1384,173,"6,6","197,6",183,"35,9","2,4","55,8","2,7","11,1",10206
"W 150 x 29,8 (H)",30,157,153,"6,6","9,3",138,118,"38,5",1739,"221,5","6,7","247,5",556,"72,6","3,8","110,8","4,2",11,30277
"W 150 x 37,1 (H)",37,162,154,"8,1","11,6",139,119,"47,8",2244,277,"6,9","313,5",707,"91,8","3,8","140,4","4,2","20,6",39930
"W 200 x 15,0",15,200,100,"4,3","5,2",190,170,"19,4",1305,"130,5","8,2","147,9",87,"17,4","2,1","27,3","2,6","2,1",8222
"W 200 x 19,3",19,203,102,"5,8","6,5",190,170,"25,1",1686,"166,1","8,2","190,6",116,"22,7","2,1","35,9","2,6",4,11098
"W 200 x 22,5",23,206,102,"6,2",8,190,170,29,2029,197,"8,4","225,5",142,"27,9","2,2","43,9","2,6","6,2",13868
"W 200 x 26,6",27,207,133,"5,8","8,4",190,170,"34,2",2611,"252,3","8,7","282,3",330,"49,6","3,1","76,3","3,5","7,7",32477
"W 200 x 31,3",31,210,134,"6,4","10,2",190,170,"40,3",3168,"301,7","8,9","338,6",410,"61,2","3,2",94,"3,6","12,6",40822
"W 200 x 35,9 (H)",36,201,165,"6,2","10,2",181,161,"45,7",3437,342,"8,7","379,2",764,"92,6","4,1",141,"4,5","14,5",69502
"W 200 x 41,7 (H)",42,205,166,"7,2","11,8",181,157,"53,5",4114,"401,4","8,8","448,6",901,"108,5","4,1","165,7","4,5","23,2",83948
"W 200 x 46,1 (H)",46,203,203,"7,2",11,181,161,"58,6",4543,"447,6","8,8","495,3",1535,"151,2","5,1","229,5","5,6",22,141342
